iteration,function operation,time elapsed
54,Resize dataset,7.486343383789062e-05
54,Append arrays,0.12304067611694336
54,Update progress bar,0.00098419189453125
55,Resize dataset,7.486343383789062e-05
55,Append arrays,0.10576057434082031
55,Update progress bar,0.0009648799896240234
56,Resize dataset,8.440017700195312e-05
56,Append arrays,0.10429573059082031
56,Update progress bar,0.0007064342498779297
57,Resize dataset,8.440017700195312e-05
57,Append arrays,0.11014962196350098
57,Update progress bar,0.0006880760192871094
58,Resize dataset,7.462501525878906e-05
58,Append arrays,0.12063741683959961
58,Update progress bar,0.0007810592651367188
59,Resize dataset,7.534027099609375e-05
59,Append arrays,0.10286569595336914
59,Update progress bar,0.0006589889526367188
60,Resize dataset,8.320808410644531e-05
60,Append arrays,0.10735154151916504
60,Update progress bar,0.0007040500640869141
61,Resize dataset,0.0001392364501953125
61,Append arrays,0.10729289054870605
61,Update progress bar,0.0006601810455322266
62,Resize dataset,7.534027099609375e-05
62,Append arrays,0.10304427146911621
62,Update progress bar,0.000644683837890625
63,Resize dataset,7.367134094238281e-05
63,Append arrays,0.09503602981567383
63,Update progress bar,0.000675201416015625
64,Resize dataset,6.961822509765625e-05
64,Append arrays,0.12053346633911133
64,Update progress bar,0.0006258487701416016
65,Resize dataset,8.702278137207031e-05
65,Append arrays,0.1888718605041504
65,Update progress bar,0.0009059906005859375
66,Resize dataset,7.510185241699219e-05
66,Append arrays,0.13982248306274414
66,Update progress bar,0.001657724380493164
67,Resize dataset,8.058547973632812e-05
67,Append arrays,0.16824913024902344
67,Update progress bar,0.0011737346649169922
68,Resize dataset,7.510185241699219e-05
68,Append arrays,0.10621142387390137
68,Update progress bar,0.0006754398345947266
69,Resize dataset,7.128715515136719e-05
69,Append arrays,0.11377882957458496
69,Update progress bar,0.0006449222564697266
70,Resize dataset,8.463859558105469e-05
70,Append arrays,0.11362838745117188
70,Update progress bar,0.0009055137634277344
71,Resize dataset,7.987022399902344e-05
71,Append arrays,0.5739140510559082
71,Update progress bar,0.001512765884399414
72,Resize dataset,7.748603820800781e-05
72,Append arrays,0.16298794746398926
72,Update progress bar,0.0008704662322998047
73,Resize dataset,7.963180541992188e-05
73,Append arrays,0.12231135368347168
73,Update progress bar,0.0006875991821289062
74,Resize dataset,7.390975952148438e-05
74,Append arrays,0.11073946952819824
74,Update progress bar,0.0007162094116210938
75,Resize dataset,7.271766662597656e-05
75,Append arrays,0.1510765552520752
75,Update progress bar,0.0009331703186035156
76,Resize dataset,9.036064147949219e-05
76,Append arrays,0.17799615859985352
76,Update progress bar,0.0009348392486572266
77,Resize dataset,7.605552673339844e-05
77,Append arrays,0.13947510719299316
77,Update progress bar,0.0008711814880371094
78,Resize dataset,7.796287536621094e-05
78,Append arrays,0.1683790683746338
78,Update progress bar,0.0011444091796875
79,Resize dataset,7.033348083496094e-05
79,Append arrays,0.10264134407043457
79,Update progress bar,0.0007333755493164062
80,Resize dataset,7.486343383789062e-05
80,Append arrays,2.996345281600952
80,Update progress bar,0.0010406970977783203
81,Resize dataset,7.62939453125e-05
81,Append arrays,0.11197352409362793
81,Update progress bar,0.0010237693786621094
82,Resize dataset,8.463859558105469e-05
82,Append arrays,0.11361932754516602
82,Update progress bar,0.0007369518280029297
83,Resize dataset,7.05718994140625e-05
83,Append arrays,0.10532903671264648
83,Update progress bar,0.0006661415100097656
84,Resize dataset,7.200241088867188e-05
84,Append arrays,0.1129004955291748
84,Update progress bar,0.0006892681121826172
85,Resize dataset,8.249282836914062e-05
85,Append arrays,0.15727663040161133
85,Update progress bar,0.0008962154388427734
86,Resize dataset,7.915496826171875e-05
86,Append arrays,0.15877604484558105
86,Update progress bar,0.0009741783142089844
87,Resize dataset,7.367134094238281e-05
87,Append arrays,0.12940359115600586
87,Update progress bar,0.0012853145599365234
88,Resize dataset,8.225440979003906e-05
88,Append arrays,0.12128949165344238
88,Update progress bar,0.0006654262542724609
89,Resize dataset,7.581710815429688e-05
89,Append arrays,0.13108253479003906
89,Update progress bar,0.0019359588623046875
90,Resize dataset,7.557868957519531e-05
90,Append arrays,0.13915514945983887
90,Update progress bar,0.0006489753723144531
91,Resize dataset,8.225440979003906e-05
91,Append arrays,0.14554262161254883
91,Update progress bar,0.0008764266967773438
92,Resize dataset,8.058547973632812e-05
92,Append arrays,0.15634393692016602
92,Update progress bar,0.0009238719940185547
93,Resize dataset,8.20159912109375e-05
93,Append arrays,0.13431143760681152
93,Update progress bar,0.0007276535034179688
94,Resize dataset,7.653236389160156e-05
94,Append arrays,0.09466743469238281
94,Update progress bar,0.0007002353668212891
95,Resize dataset,7.128715515136719e-05
95,Append arrays,0.09679102897644043
95,Update progress bar,0.0006561279296875
96,Resize dataset,7.796287536621094e-05
96,Append arrays,0.12220644950866699
96,Update progress bar,0.0006749629974365234
97,Resize dataset,7.700920104980469e-05
97,Append arrays,0.1564924716949463
97,Update progress bar,0.0012772083282470703
98,Resize dataset,7.510185241699219e-05
98,Append arrays,0.11481356620788574
98,Update progress bar,0.0009412765502929688
99,Resize dataset,7.62939453125e-05
99,Append arrays,0.10744428634643555
99,Update progress bar,0.0007367134094238281
100,Resize dataset,7.796287536621094e-05
100,Append arrays,0.1517314910888672
100,Update progress bar,0.000957489013671875
101,Resize dataset,7.176399230957031e-05
101,Append arrays,0.10281705856323242
101,Update progress bar,0.0006413459777832031
102,Resize dataset,0.0001232624053955078
102,Append arrays,0.09718489646911621
102,Update progress bar,0.0009305477142333984
103,Resize dataset,7.987022399902344e-05
103,Append arrays,0.10285615921020508
103,Update progress bar,0.0006415843963623047
104,Resize dataset,7.2479248046875e-05
104,Append arrays,0.10707235336303711
104,Update progress bar,0.0008375644683837891
105,Resize dataset,7.43865966796875e-05
105,Append arrays,0.11676168441772461
105,Update progress bar,0.0006542205810546875
106,Resize dataset,7.581710815429688e-05
106,Append arrays,0.09842705726623535
106,Update progress bar,0.0006680488586425781
107,Resize dataset,7.224082946777344e-05
107,Append arrays,0.10220837593078613
107,Update progress bar,0.0007712841033935547
108,Resize dataset,9.5367431640625e-05
108,Append arrays,0.11112737655639648
108,Update progress bar,0.00067901611328125
109,Resize dataset,7.319450378417969e-05
109,Append arrays,0.09597349166870117
109,Update progress bar,0.0008521080017089844
110,Resize dataset,7.462501525878906e-05
110,Append arrays,0.11063838005065918
110,Update progress bar,0.0006918907165527344
111,Resize dataset,7.486343383789062e-05
111,Append arrays,0.1402723789215088
111,Update progress bar,0.0013971328735351562
112,Resize dataset,7.772445678710938e-05
112,Append arrays,0.15931034088134766
112,Update progress bar,0.0008676052093505859
113,Resize dataset,7.62939453125e-05
113,Append arrays,0.13077640533447266
113,Update progress bar,0.0008180141448974609
114,Resize dataset,8.678436279296875e-05
114,Append arrays,0.09500551223754883
114,Update progress bar,0.0006625652313232422
115,Resize dataset,7.2479248046875e-05
115,Append arrays,0.1063225269317627
115,Update progress bar,0.0006184577941894531
116,Resize dataset,0.00038123130798339844
116,Append arrays,0.14925050735473633
116,Update progress bar,0.0008587837219238281
117,Resize dataset,8.845329284667969e-05
117,Append arrays,0.10516023635864258
117,Update progress bar,0.0010657310485839844
118,Resize dataset,7.510185241699219e-05
118,Append arrays,0.09973001480102539
118,Update progress bar,0.0006666183471679688
119,Resize dataset,8.869171142578125e-05
119,Append arrays,0.0974721908569336
119,Update progress bar,0.0006530284881591797
120,Resize dataset,7.343292236328125e-05
120,Append arrays,0.11618256568908691
120,Update progress bar,0.0007171630859375
121,Resize dataset,7.390975952148438e-05
121,Append arrays,0.1600797176361084
121,Update progress bar,0.0007960796356201172
122,Resize dataset,7.867813110351562e-05
122,Append arrays,0.14556646347045898
122,Update progress bar,0.0006597042083740234
123,Resize dataset,7.581710815429688e-05
123,Append arrays,0.16344261169433594
123,Update progress bar,0.0009212493896484375
124,Resize dataset,8.440017700195312e-05
124,Append arrays,0.1561267375946045
124,Update progress bar,0.0016217231750488281
125,Resize dataset,8.630752563476562e-05
125,Append arrays,0.10757970809936523
125,Update progress bar,0.0007352828979492188
126,Resize dataset,8.749961853027344e-05
126,Append arrays,0.14117002487182617
126,Update progress bar,0.0008921623229980469
127,Resize dataset,8.368492126464844e-05
127,Append arrays,0.15091514587402344
127,Update progress bar,0.0012464523315429688
128,Resize dataset,7.748603820800781e-05
128,Append arrays,0.16252827644348145
128,Update progress bar,0.0008738040924072266
129,Resize dataset,7.510185241699219e-05
129,Append arrays,0.1365981101989746
129,Update progress bar,0.0007112026214599609
130,Resize dataset,7.939338684082031e-05
130,Append arrays,0.125838041305542
130,Update progress bar,0.0006546974182128906
131,Resize dataset,7.224082946777344e-05
131,Append arrays,0.10258960723876953
131,Update progress bar,0.0006387233734130859
132,Resize dataset,7.939338684082031e-05
132,Append arrays,0.11133837699890137
132,Update progress bar,0.0006334781646728516
133,Resize dataset,7.724761962890625e-05
133,Append arrays,0.10468292236328125
